_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(584030af79baba5e57028188),www.immobilienscout24.de/expose/89129352,immobilienscout,06:59:11,2016-06-29,2016-06-29T06:59:11Z,260,40,nürnberg,t,company,1
ObjectID(584ebe15c980817b111fb8e2),www.immowelt.de/expose/2BKRP48,immowelt,07:26:06,2016-09-22,2016-09-22T07:26:06Z,270,36,dortmund,iag,private,2
ObjectID(58402fe679baba5e57028080),www.immobilienscout24.de/expose/89087866,immobilienscout,17:08:33,2016-06-27,2016-06-27T17:08:33Z,541,47,köln,gpa,private,1
ObjectID(58402f6579baba5e57027f86),www.immobilienscout24.de/expose/89074369,immobilienscout,07:18:50,2016-06-25,2016-06-25T07:18:50Z,293.54,53,hamburg,gt,company,1
ObjectID(58469b0f79baba5e57029e2a),www.immobilienscout24.de/expose/90276836,immobilienscout,17:30:19,2016-09-16,2016-09-16T17:30:19Z,752.2,51.84,münchen,gtp,company,2
ObjectID(58402b3e79baba5e57027944),www.immobilienscout24.de/expose/88910198,immobilienscout,17:15:30,2016-06-14,2016-06-14T17:15:30Z,501.29,55.78,hamburg,igt,company,1
ObjectID(584030e679baba5e5702819a),www.immobilienscout24.de/expose/89138632,immobilienscout,17:16:56,2016-06-29,2016-06-29T17:16:56Z,520,53.6,nürnberg,tgi,company,1
ObjectID(584ebd15c980817b111fb823),www.immowelt.de/expose/2B5874E,immowelt,17:20:35,2016-09-18,2016-09-18T17:20:35Z,408,31,frankfurt,iag,private,2
ObjectID(5840361d79baba5e5702880c),www.immobilienscout24.de/expose/88886940,immobilienscout,07:52:02,2016-07-11,2016-07-11T07:52:02Z,850,57.13,münchen,pga,private,1
ObjectID(584054e379baba5e57029744),www.immowelt.de/expose/2AJLP4L,immowelt,07:54:02,2016-07-13,2016-07-13T07:54:02Z,390,39,berlin,gtp,private,1
ObjectID(58469c3479baba5e57029f78),www.immobilienscout24.de/expose/43318054,immobilienscout,07:21:24,2016-09-19,2016-09-19T07:21:24Z,700,42,münchen,pig,private,2
ObjectID(584030eb79baba5e570281b2),www.immobilienscout24.de/expose/77963584,immobilienscout,17:25:13,2016-06-29,2016-06-29T17:25:13Z,450,56.31,dortmund,txiyg,company,1
ObjectID(5840511f79baba5e57029306),www.immowelt.de/expose/2AL4C4G,immowelt,07:50:08,2016-07-02,2016-07-02T07:50:08Z,260,50,dortmund,iag,private,1
ObjectID(5840518a79baba5e5702937a),www.immowelt.de/expose/2AQLM4G,immowelt,07:46:42,2016-07-03,2016-07-03T07:46:42Z,460,59,berlin,pig,company,1
ObjectID(5840307579baba5e57028116),www.immobilienscout24.de/expose/89050283,immobilienscout,17:15:39,2016-06-28,2016-06-28T17:15:39Z,560,49,hamburg,apg,private,1
ObjectID(58402fde79baba5e57028064),www.immobilienscout24.de/expose/89103688,immobilienscout,17:08:48,2016-06-27,2016-06-27T17:08:48Z,815,51,münchen,gai,company,1
ObjectID(584030ef79baba5e570281ba),www.immobilienscout24.de/expose/89137627,immobilienscout,17:17:17,2016-06-29,2016-06-29T17:17:17Z,370,55.61,leipzig,ppg,company,1
ObjectID(5846b36e79baba5e5702a632),www.immobilienscout24.de/expose/90553119,immobilienscout,17:27:47,2016-10-02,2016-10-02T17:27:47Z,460.05,46.47,nürnberg,gai,company,2
ObjectID(584ebf15c980817b111fb97f),www.immowelt.de/expose/2BVBV4G,immowelt,07:25:48,2016-09-25,2016-09-25T07:25:48Z,680,58,frankfurt,tgp,company,2
