_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.rooms,flat_meta.surface,flat_meta.title,city,order,stage
ObjectID(584ffc30c980817b111fd01e),www.immowelt.de/expose/2BS744A,immowelt,08:02:08,2016-09-08,2016-09-08T08:02:08Z,350,NA,38,Möbliertes 1 Zimmer wohnung.,nürnberg,NA,1
ObjectID(584ffc30c980817b111fd01f),www.immowelt.de/expose/2BU644A,immowelt,08:02:11,2016-09-08,2016-09-08T08:02:11Z,350,NA,38,Möbliertes 1 Zimmer wohnung.,berlin,NA,1
ObjectID(584ffc31c980817b111fd020),www.immowelt.de/expose/2BMF74A,immowelt,08:02:12,2016-09-08,2016-09-08T08:02:12Z,399,NA,38,"schöne 1,5 Zimmer Dachgeschosswohnung in Rissen",hamburg,NA,1
ObjectID(584ffc31c980817b111fd021),www.immowelt.de/expose/2B37Z49,immowelt,08:02:12,2016-09-08,2016-09-08T08:02:12Z,442,NA,34,Helles Apartment mit halboffener Küche,köln,NA,1
ObjectID(584ffc32c980817b111fd022),www.immowelt.de/expose/2B2924A,immowelt,08:02:29,2016-09-08,2016-09-08T08:02:29Z,291,NA,48.5,Ideal für Senioren - Stadtwohnung im Grünen,dresden,NA,1
ObjectID(584ffc32c980817b111fd023),www.immowelt.de/expose/2B6A44A,immowelt,07:18:54,2016-09-08,2016-09-08T07:18:54Z,350,NA,38,Möbliertes 1 Zimmer wohnung.,dresden,NA,1
ObjectID(584ffc33c980817b111fd024),www.immowelt.de/expose/2BQV24A,immowelt,08:02:33,2016-09-08,2016-09-08T08:02:33Z,260,NA,50,Wohnung!,berlin,NA,1
ObjectID(584ffc33c980817b111fd025),www.immowelt.de/expose/2BQF74A,immowelt,08:02:29,2016-09-08,2016-09-08T08:02:29Z,432,NA,54,sehr hübsche 2-RAUM Wohnung mit Franz. Balkon - Aufzug in STRIESEN,dresden,NA,1
ObjectID(584ffc34c980817b111fd026),www.immowelt.de/expose/2BDLZ49,immowelt,08:02:47,2016-09-08,2016-09-08T08:02:47Z,297,NA,32,Sanierte sehr schöne 1 - Zimmerwohnung mit Balkon,berlin,NA,1
ObjectID(584ffc34c980817b111fd027),www.immowelt.de/expose/2BY6Z49,immowelt,08:03:07,2016-09-08,2016-09-08T08:03:07Z,600,NA,55,Sehr schöne WG-geeignete 2 Zimmerwohnung mit eigenem Garten (Provisionsfrei),köln,NA,1
ObjectID(584ffc35c980817b111fd028),www.immowelt.de/expose/2BE5Y49,immowelt,08:03:09,2016-09-08,2016-09-08T08:03:09Z,385,NA,39,Frankfurter Berg: 39 qm Singelwohnung mit toller Aussicht zum 1.10.2016 frei! Preis: 385 €/kalt,frankfurt,NA,1
ObjectID(584ffc35c980817b111fd029),www.immowelt.de/expose/2BKP24A,immowelt,08:03:26,2016-09-08,2016-09-08T08:03:26Z,760,NA,52.6,"Helle, ruhige 2-Zi-Whg. in Großhadern",münchen,NA,1
ObjectID(584ffc36c980817b111fd02a),www.immowelt.de/expose/2BK744A,immowelt,08:03:22,2016-09-08,2016-09-08T08:03:22Z,350,NA,38,Möbliertes 1 Zimmer wohnung.,hamburg,NA,1
ObjectID(584ffc36c980817b111fd02b),www.immowelt.de/expose/2BF934A,immowelt,08:04:03,2016-09-08,2016-09-08T08:04:03Z,260,NA,50,Wohnung!,dortmund,NA,1
ObjectID(584ffc37c980817b111fd02c),www.immowelt.de/expose/2B6824A,immowelt,07:20:53,2016-09-08,2016-09-08T07:20:53Z,338.59,NA,52.09,2 Zimmer-Wohnung in Hamburg-Wilhelmsburg,hamburg,NA,1
ObjectID(584ffc37c980817b111fd02d),www.immowelt.de/expose/2B6P34A,immowelt,08:04:36,2016-09-08,2016-09-08T08:04:36Z,220,NA,45,**SONNENBALKON** grünes Wohnen in Pankow/Heinersdorf mit Blick auf Schrebergärten,berlin,NA,1
ObjectID(584ffc38c980817b111fd02e),www.immowelt.de/expose/2BNT24A,immowelt,08:04:49,2016-09-08,2016-09-08T08:04:49Z,260,NA,50,Wohnung!,köln,NA,1
ObjectID(584ffc38c980817b111fd02f),www.immowelt.de/expose/2B4B24A,immowelt,08:05:03,2016-09-08,2016-09-08T08:05:03Z,350,NA,56,Wohnen in Laubegast,dresden,NA,1
ObjectID(584ffc39c980817b111fd030),www.immowelt.de/expose/2BFU24A,immowelt,08:05:11,2016-09-08,2016-09-08T08:05:11Z,260,NA,50,Wohnung!,nürnberg,NA,1
ObjectID(584ffc39c980817b111fd031),www.immowelt.de/expose/2BHF34A,immowelt,08:05:34,2016-09-08,2016-09-08T08:05:34Z,260,NA,50,Wohnung!,leipzig,NA,1
